Watchlist 'testOvernight'

testOvernight
Symbol,Market Cap,OV_DECISION,Volume,Last
MEGL,6.3 M,0.0,"5,188",1.24
MEDS,4.6 M,2502.0,"164,024",1.60
MDXH,23 M,2130.0,"175,369",.4540
MDRR,20 M,0.0,100,12.17
MDCX,18 M,10376.0,"953,811",.3216
MDBH,31 M,0.0,"5,946",2.9801
MBRX,3.1 M,21899.0,"1,562,173",.4304
MBIO,4.5 M,0.0,"30,997",.5901
MBAI,10 M,16666.0,"89,907",1.31
MASK,5.1 M,27353.0,"152,034",1.58
MARPS,9.7 M,0.0,856,4.8301
LXEH,3.4 M,22085.0,"57,457",1.75
LUCY,6 M,3059.0,"93,908",.6970
LTRN,36 M,0.0,"71,879",2.81
LSTA,9.8 M,0.0,"104,198",1.09
LRE,18 M,0.0,"7,755",1.32
LPSN,31 M,48534.0,"273,910",2.53
LPCN,17 M,0.0,"41,492",2.10
LOOP,32 M,477.0,"41,432",.6548
LOCL,26 M,1648.0,"54,490",1.15
LOBO,9.1 M,2645.0,"24,789",.6577
LNAI,11 M,344.0,"23,623",2.36
LIVE,31 M,0.0,"78,963",10.00
LITS,30 M,10192.0,"198,930",.8701
LIQT,24 M,1144.0,"173,242",.72010
LIMN,7.9 M,149229.0,"6,557,374",.1170
LICN,19 M,1799.0,"67,478",1.18
LI,"12,606 M",25533.0,"2,373,521",12.84
LHSW,9.8 M,1502.0,"46,105",3.03
LHAI,13 M,11728.0,"154,262",.7660
LGVN,23 M,6679.0,"521,824",.7363
LGPS,22 M,6664.0,"71,528",.9305
LFWD,22 M,0.0,"7,314",7.71
LFT,36 M,6920.0,"67,910",.6853
LEXX,9.1 M,0.0,"9,562",5.49
LESL,10 M,41109.0,"904,963",1.110000
LEDS,18 M,1656.0,"81,247",2.14
LCFY,4.7 M,0.0,"17,958",2.64
LABT,4.1 M,4598.0,"194,398",2.35
KYNB,28 M,0.0,"3,515",6.97
KXIN,8.7 M,2.0,"60,018",5.29
KWM,6 M,21260.0,"105,788",2.31
KTTA,16 M,1157.0,"541,948",.4740
KSMCF,4.4 M,0.0,"6,415",.107425
KSCP,29 M,34555.0,"1,697,373",1.45
KRKR,6.2 M,3187.0,"16,789",3.1495
KPRX,11 M,4021.0,"12,221",2.58
KPLT,32 M,100.0,"7,961",6.36
KOSS,36 M,0.0,"6,790",3.775
KNRX,11 M,847.0,"19,047",.3640
KMRK,25 M,3138.0,"77,180",1.19
KITT,8 M,21073.0,"296,968",1.1700
KCCFF,34 M,0.0,"60,800",.18421
KAPA,7.5 M,132422.0,"895,369",.3500
KALA,15 M,793.0,"124,514",.7550
JZ,5.9 M,6350.0,"52,175",2.43
JYD,8.2 M,302.0,"81,509",.9877
JVA,20 M,1290.0,"26,510",3.48
JUNS,4.1 M,1530.0,"39,846",5.31
JSPR,27 M,4940.0,"613,169",.799400
JOB,22 M,200.0,"298,465",.2011
JL,20 M,0.0,"6,579",5.25
JG,29 M,0.0,"2,165",4.91
JFU,28 M,0.0,"1,098",2.38
JF,18 M,0.0,"14,800",.9798
JDZG,15 M,5312.0,"132,606",2.81
JCTC,11 M,1.0,"11,973",3.09
JCSE,7.8 M,0.0,"19,792",1.49
JBDI,13 M,1338.0,"4,494",1.33
JAGX,4.1 M,3637.0,"218,153",.8344
JAGU,35 M,1275.0,"49,102",1.72
IZM,3 M,2100.0,"90,333",.2516
IXHL,39 M,3516.0,"85,034",3.23
IVDA,3.5 M,17907.0,"379,779",.3000
ITP,3 M,8231.0,"221,495",.1785
ITOC,4.9 M,2600.0,"18,925",.2882
ISPC,3.2 M,7122.0,"67,517",2.24
IRIX,15 M,509.0,"66,681",.8419
IQST,7.9 M,31403.0,"1,515,015",1.17
IPM,25 M,0.0,"4,227",1.93
IPDN,4.9 M,194.0,"65,804",.3853
IOTR,13 M,0.0,"9,241",2.71
