Watchlist '24 Hour Trading'

24 Hour Trading
Symbol,myRange,Market Cap,Volume,Last
FTNT,4.38,"117,130 M","4,826,784",159.64
PANW,3.16,"296,546 M","4,811,281",363.86
KTOS,8.6,"11,408 M","4,791,017",60.77
O,1.21,"59,147 M","4,787,227",62.51
GME,1.21,"8,597 M","4,766,509",19.16
IBM,1.97,"223,550 M","4,763,304",237.28
ADBE,3.39,"105,421 M","4,752,642",265.21
FISR,0.36,495 M,"4,735,867",25.28
PEP,1.7,"189,747 M","4,733,961",139.02
TJX,2.05,"178,255 M","4,722,540",161.36
INDA,0.36,"6,633 M","4,720,327",50.365
PM,1.96,"295,466 M","4,718,644",189.57
AIG,2.44,"41,336 M","4,674,354",78.78
VOO,0.56,"1,032,908 M","4,653,131",710.71
DXCM,3.61,"31,981 M","4,626,280",84.75
IVZ,1.29,"13,943 M","4,619,578",31.58
WMB,2.77,"86,111 M","4,592,645",70.40
PLD,1.57,"133,199 M","4,575,685",140.16
JPM,1.56,"950,355 M","4,566,210",357.52
AMAT,3.4,"428,055 M","4,555,017",539.14
NWSA,4.05,"15,421 M","4,542,932",28.52
FNGU,3.61,0,"4,538,283",33.53
SCHP,0.15,"16,230 M","4,527,841",25.96
USO,2.2,"1,666 M","4,510,550",117.98
RDDT,6.97,"31,111 M","4,509,577",161.70
EWJ,0.67,"22,849 M","4,484,850",96.90
UPST,4.8,"3,025 M","4,445,941",31.09
USB,1.51,"99,622 M","4,412,455",63.94
COPX,1.66,"8,199 M","4,404,376",88.03
VXUS,0.75,"162,911 M","4,400,260",87.21
CPB,3.2,"6,874 M","4,390,582",23.05
ORLY,2.22,"76,336 M","4,385,310",93.53
SE,2.37,"69,474 M","4,320,142",113.43
MET,2.49,"62,131 M","4,312,838",97.77
AEP,1.75,"68,447 M","4,311,522",125.73
DUK,2.5,"97,346 M","4,309,595",124.85
CRDO,8.11,"46,599 M","4,265,549",249.89
HDV,1.16,"14,845 M","4,233,576",28.78
TMF,1.32,"2,181 M","4,228,731",31.43
JD,1.01,"44,526 M","4,203,868",32.97
CZR,0.67,"6,142 M","4,149,068",30.15
TSLQ,8.51,108 M,"4,129,930",24.15
FE,2.27,"27,468 M","4,112,277",47.47
BA,2.05,"185,279 M","4,107,486",234.42
UNH,2.49,"369,687 M","4,095,868",407.08
DOC,1.9,"14,763 M","4,094,056",21.41
LVS,2.6,"29,645 M","4,076,359",45.77
BX,2.88,"109,695 M","4,070,101",137.13
RBRK,4.67,"18,539 M","4,046,352",90.07
GM,1.79,"76,847 M","4,024,042",87.58
TTWO,7.13,"46,091 M","3,987,085",246.50
AI,4.45,"1,589 M","3,912,630",10.22
VRT,6.21,"104,871 M","3,909,487",272.40
BOIL,2.56,392 M,"3,888,114",19.12
XLRE,1.22,"8,652 M","3,863,635",44.98
ARM,8.83,"301,784 M","3,831,181",282.57
METU,4.42,463 M,"3,821,009",21.42
IVV,0.65,"904,463 M","3,820,075",776.73
RMD,6.68,"30,743 M","3,810,438",211.94
BNDX,0.14,"83,105 M","3,809,511",47.95
SSO,1.1,"8,408 M","3,802,623",71.68
QGEN,1.42,"8,724 M","3,796,284",42.30
BBY,4.01,"17,283 M","3,778,804",82.00
SIRI,1.34,"10,082 M","3,778,166",29.91
LUV,2.21,"23,017 M","3,764,644",47.05
TZA,2.32,202 M,"3,753,788",37.60
PDD,1.79,"130,611 M","3,747,908",91.76
DJT,4.41,"2,828 M","3,742,747",10.21
CL,2.03,"74,352 M","3,738,701",93.27
TER,6.65,"59,302 M","3,737,946",379.31
AZN,1.36,"250,344 M","3,720,555",161.42
AMDL,9.86,"1,015 M","3,715,090",52.29
MUB,0.14,"45,851 M","3,711,736",105.94
MSFU,2.58,786 M,"3,704,179",38.26
VGLT,0.43,"10,374 M","3,693,950",53.08
ACN,3.38,"107,530 M","3,678,400",175.72
MBLY,2.51,"2,204 M","3,674,836",8.73
VLO,3.58,"85,892 M","3,628,173",298.31
JEPI,0.38,"45,937 M","3,625,699",57.58
CMS,2.2,"22,273 M","3,615,939",71.03
RR,5.23,360 M,"3,610,600",1.61
NRG,4.62,"24,832 M","3,606,488",118.13
IP,4.62,"22,020 M","3,593,985",41.58
HD,2.32,"354,595 M","3,584,846",355.62
ALAB,6.65,"57,974 M","3,547,296",334.17
BEN,1.97,"17,158 M","3,543,628",33.77
FITB,1.66,"51,774 M","3,530,175",57.09
WELL,1.62,"170,718 M","3,527,491",236.92
CNC,4.03,"32,490 M","3,526,520",65.77
SWKS,5.26,"10,626 M","3,503,276",70.62
SDOW,1.57,183 M,"3,501,216",22.00
SCHO,0.08,"12,935 M","3,490,505",24.06
BOXX,0.05,"13,500 M","3,469,075",117.75
DOCU,4.31,"11,506 M","3,443,842",60.26
EIX,2.79,"26,406 M","3,440,978",68.62
EMB,0.31,"14,953 M","3,435,296",95.24
DOG,0.5,87 M,"3,401,502",21.05
DAL,1.75,"60,067 M","3,386,100",91.34
LKQ,3.07,"6,290 M","3,381,012",24.86
CTVA,2.35,"51,261 M","3,375,288",76.83
KIM,2.23,"16,408 M","3,369,147",24.46
SW,3.55,"25,324 M","3,365,272",48.28
ASHR,0.46,"1,600 M","3,364,848",35.12
IHI,1.83,"3,374 M","3,337,123",54.38
DHR,3.4,"143,943 M","3,323,842",204.76
WDAY,4.84,"44,366 M","3,299,668",179.64
SYY,1.74,"40,336 M","3,278,906",84.29
MTCH,2.66,"8,553 M","3,267,377",37.26
EOG,2.27,"70,675 M","3,244,612",134.74
PNR,3.33,"10,995 M","3,243,153",68.89
NVDQ,3.83,14 M,"3,239,254",9.03
TAP,3.4,"8,087 M","3,222,523",43.37
CCJ,3.26,"42,417 M","3,220,143",97.39
NXPI,2.09,"60,446 M","3,216,898",239.71
UGL,1.81,791 M,"3,182,877",50.69
PDBC,0.93,"6,419 M","3,171,309",17.25
VGT,1.38,"148,948 M","3,138,428",121.45
ICE,2.27,"84,378 M","3,132,153",150.30
ZSL,4.86,60 M,"3,126,820",25.64
PCAR,1.77,"70,064 M","3,114,714",133.11
IUSB,0.24,"43,281 M","3,113,568",45.54
ADM,2.4,"36,913 M","3,083,485",76.59
MA,2.02,"493,150 M","3,018,851",562.95
VNQ,1.11,"39,077 M","3,000,374",98.43
INTU,3.59,"88,968 M","2,977,656",325.25
SWK,3.97,"15,689 M","2,958,246",103.89
VT,0.53,"81,328 M","2,952,747",161.30
BSCQ,0.05,"3,571 M","2,950,758",19.545
INVH,1.41,"18,041 M","2,950,005",30.37
SHY,0.06,"25,477 M","2,939,607",81.92
GEHC,3.23,"32,418 M","2,938,953",71.77
GRID,1.46,"12,146 M","2,928,937",186.43
PSX,2.76,"81,364 M","2,909,278",203.91
AFRM,5.5,"25,201 M","2,901,250",75.25
LLY,3.07,"1,056,891 M","2,898,528",1185.71
TNA,2.18,"1,475 M","2,877,531",74.68
PYLD,0.23,"15,223 M","2,870,556",26.21
ROKU,1.59,"22,724 M","2,849,617",153.11
TGT,2.95,"67,992 M","2,847,957",149.70
MGM,1.62,"11,188 M","2,842,518",44.47
ADI,1.87,"189,930 M","2,837,771",389.93
HON,3.03,"78,034 M","2,837,537",246.21
QQQM,0.98,"102,445 M","2,836,585",297.70
EMR,1.55,"88,277 M","2,826,819",158.26
SPLV,1.15,"7,219 M","2,792,666",76.21
LULU,3.92,"14,601 M","2,792,143",128.58
JCI,2.22,"92,200 M","2,759,560",152.21
CGDV,0.62,"38,947 M","2,759,007",51.30
ALL,2.32,"67,513 M","2,751,228",267.00
OKE,2.35,"54,477 M","2,740,974",86.42
MINT,0.03,"17,105 M","2,710,542",100.58
KMB,2.51,"36,477 M","2,705,304",109.68
DLR,1.65,"71,713 M","2,656,907",193.80
CGGR,0.73,"25,006 M","2,644,815",46.96
ALB,5.85,"15,472 M","2,632,637",131.11
UDR,2.03,"12,340 M","2,607,309",38.41
CEG,3.68,"95,624 M","2,606,091",269.89
PPLT,1.43,"2,040 M","2,604,697",15.85
UNP,1.99,"174,141 M","2,603,166",293.13
OTIS,1.8,"28,166 M","2,602,410",73.99
COF,1.45,"133,592 M","2,570,024",217.76
TSN,1.57,"20,419 M","2,569,727",58.04
IJR,0.7,"112,397 M","2,561,079",148.93
TEL,1.55,"62,630 M","2,552,011",216.33
GE,2.54,"383,981 M","2,527,688",370.08
