Watchlist 'testOvernight'

testOvernight
Symbol,myRange,Market Cap,OV_DECISION,Volume,OV_FINAL,Last
EQS,9.09,16 M,0.0,"6,797",0.0,1.15
ERNA,12.78,5.3 M,955.0,"69,784",955.0,4.53
ESLA,14.4056,31 M,0.0,"25,309",0.0,.7220
EURK,0.0,26 M,0.0,8,0.0,11.98
EUUNF,17.3949,11 M,0.0,"7,000",0.0,.1213
EVAX,9.57,25 M,5729.0,"35,052",10327.0,3.05
EXYN,14.9,17 M,629.0,"631,729",629.0,2.1700
FABC,7.28,17 M,9325.0,"123,354",10425.0,2.63
FAMI,7.3781,5.9 M,150461.0,"501,931",150461.0,.1581
FBGL,9.7201,5.8 M,711.0,"82,442",711.0,.4276
FBLG,9.4737,6.5 M,3462.0,"118,116",3462.0,.9800
FCUV,33.01,4.5 M,9362.0,"331,406",9562.0,6.44
FEBO,1.2532,8.8 M,0.0,545,0.0,.7999
FEDU,6.67,17 M,0.0,879,0.0,7.50
FEED,10.8831,3.8 M,12013.0,"136,564",12133.0,.4140
FEMY,22.25,7.2 M,4048.0,"400,403",4048.0,2.37
FENG,3.33,18 M,100.0,"5,932",100.0,1.54
FFAI,9.78,11 M,8642.0,"560,327",12273.0,4.37
FGI,5.76,8.9 M,0.0,"12,942",0.0,4.63
FIEE,25.38,31 M,4383.0,"133,535",4383.0,3.64
FKWL,6.37,28 M,24497.0,"79,657",24597.0,2.365
FLD,11.2444,23 M,8199.0,"118,768",10258.0,.4513
FLUX,9.344,11 M,1349.0,"423,453",1349.0,.5240
FMFC,15.821,5 M,39664.0,"8,101,230",40388.0,.2712
FMST,2.94,22 M,200.0,"63,811",551.0,1.36
FNCJF,0.0974,25 M,0.0,"10,000",0.0,.1027
FNGR,18.4412,18 M,65910.0,"1,199,438",68736.0,.290000
FOFO,18.64,20 M,744.0,"17,562",844.0,2.59
FOXX,8.98,18 M,0.0,"7,949",0.0,2.50
FRSX,15.7,4.1 M,3435.0,"76,304",3435.0,1.36
FRTT,2.7359,11 M,560.0,"18,750",560.0,.9770
FTHM,9.6805,24 M,0.0,"99,291",0.0,.7240
FTRK,25.8276,7.3 M,1533.0,"246,804",1533.0,.336100
FUSE,8.3631,24 M,14321.0,"469,311",14538.0,.8283
GAME,13.1659,40 M,33830.0,"9,163,323",33830.0,.3873
GAUZ,23.6559,7.5 M,299457.0,"2,161,291",300923.0,.3999
GBR,5.5547,3.6 M,2607.0,"24,879",2607.0,.6956
GCDT,8.716,5.9 M,24501.0,"72,636",25701.0,.4612
GCTK,11.8974,3.1 M,98772.0,"621,733",98922.0,.4029
GDC,5.49,7 M,9278.0,"153,956",10278.0,1.68
GDTC,11.625,9.5 M,486.0,"50,497",486.0,.8001
GELS,8.4392,6.3 M,300.0,"33,847",300.0,.5846
GENK,11.42,9.8 M,0.0,"7,138,248",0.0,1.82
GFAI,4.0162,11 M,3588.0,"86,480",12050.0,.3466
GGRP,11.6409,21 M,100.0,"99,283",100.0,.9490
GIFT,5.8333,31 M,0.0,"45,857",0.0,.8869
GIGM,5.59,16 M,0.0,"18,618",0.0,1.4799
GITS,28.57,10 M,1504.0,"588,212",1504.0,2.7100
GLE,14.0857,7.1 M,68524.0,"373,866",70720.0,.3872
GLMD,3.359,4.9 M,1355.0,"14,647",1355.0,.5931
GLXG,8.45,6.7 M,56991.0,"286,575",58861.0,1.13
GMM,5.47,5.7 M,9308.0,"54,591",9808.0,2.94
GNS,3.4069,31 M,108842.0,"1,293,580",110087.0,.1596
GOVX,6.4963,3.9 M,6041.0,"130,720",6041.0,.7540
GP,8.16,11 M,883.0,"189,272",883.0,1.49
GRAN,22.29,35 M,0.0,"3,002",0.0,1.39
GRDX,14.5,21 M,0.0,"40,675",0.0,3.01
GRI,19.33,3 M,2180.0,"286,226",2280.0,1.70
